,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,RAIN,wd,WSPM
0,6.0,18.0,5.0,43.0,800.0,88.0,0.1,0.0,5.497787143782138,4.4
1,6.0,15.0,5.0,43.0,800.0,88.0,-0.3,0.0,5.497787143782138,4.0
2,5.0,18.0,7.0,43.0,700.0,52.0,-0.7,0.0,5.105088062083414,4.6
3,6.0,20.0,6.0,43.0,900.0,45.0,-1.0,0.0,4.712388980384691,2.8
4,5.0,17.0,5.0,43.0,600.0,73.0,-1.3,0.0,5.105088062083414,3.6
5,4.0,11.0,3.0,43.0,700.0,87.0,-1.8,0.0,1.5707963267948966,1.2
6,3.0,6.0,3.0,43.0,700.0,92.0,-2.6,0.0,1.1780972450961724,1.2
7,5.0,5.0,3.0,43.0,800.0,86.0,-0.9,0.0,1.1780972450961724,1.1
8,5.0,9.0,5.0,43.0,900.0,81.0,0.1,0.0,1.1780972450961724,3.0
9,4.0,10.0,6.0,43.0,900.0,82.0,1.1,0.0,0.7853981633974483,2.8
10,7.0,8.0,8.0,43.0,900.0,82.0,1.9,0.0,1.1780972450961724,3.0
11,3.0,6.0,8.0,43.0,800.0,85.0,3.3,0.0,1.1780972450961724,3.2
12,9.0,10.0,8.0,43.0,800.0,86.0,4.1,0.0,1.1780972450961724,3.2
13,10.0,19.0,9.0,43.0,900.0,86.0,5.3,0.0,0.7853981633974483,2.7
14,13.0,20.0,8.0,43.0,800.0,88.0,5.5,0.0,0.7853981633974483,2.1
15,13.0,16.0,8.0,43.0,800.0,90.0,6.3,0.0,1.1780972450961724,2.7
16,11.0,22.0,6.0,43.0,800.0,90.0,5.9,0.0,1.1780972450961724,1.8
17,10.0,20.0,4.0,43.0,800.0,87.0,5.1,0.0,5.105088062083414,1.0
18,11.0,20.0,6.0,43.0,900.0,80.0,3.7,0.0,1.5707963267948966,1.6
19,11.0,31.0,8.0,43.0,1000.0,69.0,2.7,0.0,1.5707963267948966,1.7
20,13.0,25.0,12.0,5.0,1100.0,61.0,1.6,0.0,1.9634954084936207,1.9
21,15.0,23.0,14.0,13.0,1200.0,52.0,1.0,0.0,2.748893571891069,0.7
22,16.0,28.0,16.0,19.0,1200.0,45.0,1.3,0.0,1.5707963267948966,1.0
23,16.0,28.0,14.0,20.0,1100.0,44.0,0.2,0.0,1.9634954084936207,1.1
24,14.0,18.0,24.0,43.0,1399.0,25.0,-0.3,0.0,1.1780972450961724,1.4
25,18.0,39.0,25.0,28.0,1300.0,37.0,-0.7,0.0,1.5707963267948966,1.0
26,19.0,29.0,30.0,13.0,1100.0,47.0,-0.8,0.0,1.1780972450961724,1.4
27,15.0,24.0,20.0,12.0,1000.0,46.0,-1.2,0.0,1.1780972450961724,1.1
28,13.0,16.0,21.0,24.0,1200.0,37.0,-1.3,0.0,0.7853981633974483,1.1
29,12.0,23.0,26.0,11.0,1200.0,50.0,-1.3,0.0,1.1780972450961724,1.4
30,12.0,12.0,18.0,43.0,1000.0,62.0,-1.6,0.0,1.1780972450961724,0.7
31,3.0,6.0,19.0,11.0,1100.0,52.0,-1.3,0.0,1.9634954084936207,0.6
32,3.0,9.0,22.0,15.0,1200.0,51.0,-0.6,0.0,0.39269908169872414,0.9
33,10.0,15.0,30.0,27.0,1200.0,42.0,0.3,0.0,3.9269908169872414,0.7
34,15.0,17.0,34.0,45.0,1300.0,30.0,1.7,0.0,3.9269908169872414,1.9
35,20.0,31.0,27.0,45.0,1399.0,31.0,2.5,0.0,3.5342917352885173,2.0
36,26.0,36.0,26.0,23.0,1200.0,49.0,3.1,0.0,3.5342917352885173,2.2
37,31.0,43.0,23.0,6.0,1100.0,65.0,3.5,0.0,2.748893571891069,1.2
38,32.0,36.0,26.0,12.0,1200.0,62.0,3.7,0.0,2.748893571891069,1.1
39,36.0,37.0,40.0,22.0,1600.0,59.0,3.8,0.0,2.748893571891069,1.2
40,47.0,66.0,47.0,30.0,1600.0,55.0,3.6,0.0,3.1415926535897927,1.4
41,59.0,80.0,50.0,32.0,1500.0,51.0,3.2,0.0,2.748893571891069,1.4
42,63.0,88.0,50.0,36.0,1600.0,50.0,2.8,0.0,3.1415926535897927,0.6
43,70.0,102.0,62.0,62.0,1899.0,26.0,1.4,0.0,1.5707963267948966,0.7
44,86.0,125.0,66.0,89.0,2100.0,6.0,1.4,0.0,1.5707963267948966,0.9
45,98.0,147.0,67.0,84.0,2200.0,7.0,0.5,0.0,2.3561944901923453,0.6
46,98.0,126.0,71.0,97.0,2500.0,5.0,-0.8,0.0,5.8904862254808625,0.6
47,86.0,108.0,71.0,97.0,2600.0,5.0,-1.9,0.0,5.497787143782138,0.0
48,81.0,108.0,64.0,91.0,2500.0,4.0,-2.5,0.0,5.105088062083414,0.5
49,80.0,99.0,66.0,85.0,3000.0,5.0,-2.6,0.0,3.9269908169872414,0.2
50,84.0,106.0,66.0,74.0,3799.0,5.0,-3.1,0.0,2.3561944901923453,0.8
51,87.0,137.0,50.0,61.0,2600.0,5.0,-3.6,0.0,3.9269908169872414,0.2
52,79.0,92.0,42.0,39.0,2100.0,10.0,-4.2,0.0,1.9634954084936207,0.0
53,54.0,71.0,56.0,78.0,3799.0,5.0,-4.4,0.0,0.0,0.0
54,76.0,94.0,47.0,65.0,3700.0,4.0,-4.7,0.0,5.497787143782138,0.9
55,82.0,110.0,46.0,53.0,2899.0,4.0,-2.5,0.0,2.748893571891069,0.9
56,78.0,88.0,52.0,52.0,2899.0,6.0,1.2,0.0,0.7853981633974483,0.5
57,77.0,99.0,60.0,66.0,3399.0,9.0,3.8,0.0,3.5342917352885173,0.5
58,87.0,113.0,80.0,86.0,3000.0,14.0,6.4,0.0,2.3561944901923453,1.4
59,97.0,115.0,74.0,94.0,3000.0,16.0,10.5,0.0,2.748893571891069,1.4
60,102.0,138.0,68.0,109.0,3100.0,18.0,14.1,0.0,5.105088062083414,3.0
61,113.0,184.0,66.0,81.0,2399.0,51.0,16.0,0.0,5.105088062083414,2.6
62,127.0,194.0,53.0,51.0,1800.0,71.0,16.6,0.0,5.105088062083414,2.4
63,97.0,149.0,19.0,43.0,1000.0,85.0,16.9,0.0,5.105088062083414,3.7
64,61.0,112.0,20.0,6.0,1100.0,79.0,15.8,0.0,5.105088062083414,1.9
65,44.0,119.0,25.0,13.0,1300.0,80.0,12.1,0.0,5.497787143782138,1.7
