,Batch Size,Learning Rate,Loss Function,Model,batch,epoch,neuron,test_rmse,train_rmse,train_time,valid_rmse
0,1024.0,0.01,mean_squared_error,DFS,,,,0.05616300541626861,0.05061523455445864,492.79,0.054929553232974375
0,1024.0,0.01,mean_absolute_error,DFS,,,,0.05902288069678178,0.05627095992387867,504.6,0.05922580625688765
0,1024.0,0.001,mean_squared_error,DFS,,,,0.05591178012162844,0.053469610246112714,497.14,0.05604463009050589
0,1024.0,0.001,mean_absolute_error,DFS,,,,0.057469191554312044,0.053796238984307874,502.58,0.05757517863525552
0,1024.0,0.0001,mean_squared_error,DFS,,,,0.05889719014965441,0.05601228745668072,510.4,0.05942115231897772
0,1024.0,0.0001,mean_absolute_error,DFS,,,,0.05880838625932054,0.05596254013244636,501.85,0.05929355642294691
0,2048.0,0.01,mean_squared_error,DFS,,,,0.057101049810077235,0.05212390405025823,307.3,0.055649005703106026
0,2048.0,0.01,mean_absolute_error,DFS,,,,0.08394110801923846,0.08282550955718052,310.18,0.08421386602870787
0,2048.0,0.001,mean_squared_error,DFS,,,,0.05830479987552762,0.054722091630272196,312.59,0.05839116873875675
0,2048.0,0.001,mean_absolute_error,DFS,,,,0.05691778714173119,0.05417106428011906,307.6,0.05728528300841852
0,2048.0,0.0001,mean_squared_error,DFS,,,,0.05950296207229115,0.05662071263264464,309.37,0.06020333664687847
0,2048.0,0.0001,mean_absolute_error,DFS,,,,0.059038755370827666,0.056395991097464196,313.13,0.05970760917025912
0,5096.0,0.01,mean_squared_error,DFS,,,,0.0568897619298795,0.05332283673777734,164.11,0.05662748714851643
0,5096.0,0.01,mean_absolute_error,DFS,,,,0.07090482288184817,0.06811356611892132,170.0,0.07187372643946152
0,5096.0,0.001,mean_squared_error,DFS,,,,0.05736907124096912,0.05519336391311435,168.73,0.05789646185603467
0,5096.0,0.001,mean_absolute_error,DFS,,,,0.0576217540371659,0.054908224599637984,172.83,0.0581878574780396
0,5096.0,0.0001,mean_squared_error,DFS,,,,0.06006865049013684,0.05806918343568853,172.57,0.060966495027208134
0,5096.0,0.0001,mean_absolute_error,DFS,,,,0.05941614011933275,0.0572352130109108,166.78,0.060104923346304476
0,10192.0,0.01,mean_squared_error,DFS,,,,0.059531984170095024,0.056870779353282296,113.68,0.06006298305619104
0,10192.0,0.01,mean_absolute_error,DFS,,,,0.061209676346468934,0.058539010163705385,111.34,0.06201532910736616
0,10192.0,0.001,mean_squared_error,DFS,,,,0.05970261282196842,0.05633077661067523,112.91,0.06036747836581399
0,10192.0,0.001,mean_absolute_error,DFS,,,,0.05905100359013132,0.055853585332482,110.12,0.05942799009075205
0,10192.0,0.0001,mean_squared_error,DFS,,,,0.06160010554332365,0.06018516492217218,111.9,0.0626421873615636
0,10192.0,0.0001,mean_absolute_error,DFS,,,,0.05995077645160974,0.05841659888220047,114.07,0.060704595171549934
