,Model,Test RMSE,Train RMSE,Training Time,train_rmse,train_time,valid_rmse
0,CB_2GRU,0.076712239,0.079626517,40876.16,,,
0,CBGRU,0.064370834,0.064010247,21698.66,,,
0,CBLSTM,0.082946257,0.083547651,27350.45,,,
0,DFS,0.068215523,0.067695046,16550.17,,,
0,DFS_2LSTM,0.08200877,0.082973462,28227.45,,,
0,DFS_GRU,0.082409967,0.083649788,13643.11,,,
0,GRU,0.060235891,0.060498239,31502.1,,,
0,GRU_GRU,0.070897828,0.069577378,70882.23,,,
0,GRU_LSTM,0.059927021,0.057813142,85001.61,,,
0,LSTM,0.06077893,0.057999427,44694.64,,,
0,LSTM_GRU,0.058658532,0.058613413,82238.72,,,
0,LSTM_LSTM,0.061739105,0.055264671,93106.06,,,
