,Model,train_rmse,valid_rmse,24h_pred_rmse,train_time
0,LSTM_LSTM,0.056565726,0.056808781,0.397024507,20458.45
0,GRU_LSTM,0.056020577,0.057624465,0.43352674,23534.34
0,LSTM_GRU,0.057507772,0.05989588,0.375985619,22786.09
0,LSTM,0.057639428,0.060422563,0.483283068,10265.84
0,GRU,0.068072753,0.06304012,0.360987528,12342.5
0,DFS_2LSTM,0.064259593,0.063804505,0.393357258,6766.94
0,GRU_GRU,0.059758855,0.06470666,0.395904794,24509.3
0,CBLSTM,0.067192514,0.066631479,0.401222685,6637.13
0,DFS,0.066273469,0.066922088,0.377898465,4499.4
0,DFS_GRU,0.067431414,0.070703999,0.376714571,5077.03
0,CBGRU,0.071048019,0.074437082,0.373831999,7320.51
0,CB_2GRU,0.073590543,0.080009158,0.366475986,13039.92
